epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5490.6,0.80625,0.42927,0.82255,0.65786,0.77728,0.59796,0.42208,0.69669,1.49173,0.78647,0.00163303,0.00163303,0.00163303
87,5554.06,0.79104,0.42435,0.82032,0.73301,0.78638,0.69367,0.50145,0.68055,0.79365,0.78399,0.00162494,0.00162494,0.00162494
88,5616.91,0.80401,0.41869,0.82374,0.75811,0.80322,0.7205,0.5171,0.68428,0.71383,0.78562,0.00161678,0.00161678,0.00161678
89,5680.08,0.80576,0.42623,0.82461,0.81131,0.79706,0.77482,0.55502,0.67903,0.57381,0.7854,0.00160855,0.00160855,0.00160855
90,5743.05,0.83245,0.4322,0.82102,0.68472,0.77052,0.62413,0.44027,0.6858,1.33817,0.784,0.00160026,0.00160026,0.00160026
91,5805.97,0.78724,0.41388,0.81569,0.85996,0.7493,0.77308,0.55487,0.68046,0.60066,0.78562,0.00159191,0.00159191,0.00159191
92,5868.97,0.81769,0.4302,0.82678,0.83106,0.74372,0.7588,0.53989,0.68664,0.76034,0.78473,0.00158349,0.00158349,0.00158349
93,5931.99,0.80635,0.42859,0.82321,0.77207,0.79118,0.72892,0.52385,0.67759,0.63701,0.78329,0.00157501,0.00157501,0.00157501
94,5994.91,0.80883,0.42285,0.82494,0.893,0.7761,0.82565,0.60345,0.6759,0.46257,0.78357,0.00156646,0.00156646,0.00156646
95,6057.89,0.79636,0.41381,0.82048,0.89409,0.79229,0.84793,0.63637,0.6651,0.40611,0.78293,0.00155786,0.00155786,0.00155786
96,6120.51,0.81619,0.4256,0.81812,0.86081,0.79341,0.80895,0.59021,0.67058,0.51057,0.78226,0.00154919,0.00154919,0.00154919
97,6183.32,0.77967,0.41806,0.82087,0.84439,0.78113,0.78351,0.57444,0.66388,0.52882,0.7808,0.00154047,0.00154047,0.00154047
98,6246.26,0.80335,0.42905,0.82302,0.89229,0.8057,0.85924,0.64341,0.66155,0.38702,0.78312,0.00153169,0.00153169,0.00153169
99,6309.39,0.77872,0.41651,0.81667,0.7955,0.79676,0.75961,0.55316,0.65305,0.67784,0.781,0.00152285,0.00152285,0.00152285
100,6372.28,0.78255,0.40572,0.81705,0.87377,0.77834,0.80559,0.5833,0.66285,0.51137,0.78259,0.00151395,0.00151395,0.00151395
101,6435.51,0.77753,0.40615,0.81987,0.83904,0.77711,0.7658,0.56838,0.65484,0.79526,0.78082,0.001505,0.001505,0.001505
102,6498.8,0.76975,0.40777,0.81737,0.83746,0.78001,0.77645,0.56597,0.66474,0.72031,0.78259,0.00149599,0.00149599,0.00149599
103,6562.95,0.78784,0.41186,0.82002,0.79806,0.77722,0.74724,0.55253,0.64682,0.74267,0.7803,0.00148694,0.00148694,0.00148694
104,6626.92,0.78224,0.4093,0.8153,0.80931,0.80346,0.77695,0.57136,0.64193,0.59891,0.77983,0.00147783,0.00147783,0.00147783
105,6689.86,0.7735,0.40867,0.82024,0.88809,0.7895,0.84653,0.63223,0.64599,0.39977,0.7812,0.00146866,0.00146866,0.00146866
106,6753.15,0.80681,0.41999,0.82464,0.90346,0.78001,0.83863,0.6281,0.65201,0.38353,0.77933,0.00145945,0.00145945,0.00145945
107,6815.95,0.76607,0.39492,0.80948,0.89054,0.80856,0.84579,0.62416,0.65511,0.41821,0.7822,0.00145019,0.00145019,0.00145019
108,6879.02,0.79849,0.41504,0.81705,0.85714,0.7906,0.7949,0.59232,0.64626,0.57173,0.78046,0.00144088,0.00144088,0.00144088
109,6942.01,0.79764,0.41746,0.82338,0.89423,0.78448,0.83309,0.62199,0.65302,0.41868,0.78145,0.00143152,0.00143152,0.00143152
110,7005.1,0.77604,0.40579,0.81915,0.91051,0.80346,0.8738,0.65667,0.66169,0.36443,0.78404,0.00142212,0.00142212,0.00142212
111,7067.94,0.78294,0.40739,0.8199,0.88336,0.81611,0.86311,0.64831,0.64889,0.3827,0.78314,0.00141267,0.00141267,0.00141267
112,7131.09,0.74451,0.3925,0.80987,0.92964,0.8041,0.88216,0.66473,0.6431,0.35599,0.77827,0.00140318,0.00140318,0.00140318
113,7194,0.78644,0.41053,0.82309,0.92507,0.79268,0.87675,0.66733,0.63709,0.35358,0.78033,0.00139364,0.00139364,0.00139364
114,7256.92,0.77296,0.4053,0.81692,0.91737,0.77487,0.86105,0.65303,0.64545,0.36659,0.78008,0.00138406,0.00138406,0.00138406
115,7320.27,0.75371,0.39824,0.81459,0.94875,0.77164,0.86917,0.66229,0.63288,0.34901,0.77931,0.00137444,0.00137444,0.00137444
116,7383.23,0.76362,0.40902,0.81742,0.9454,0.77331,0.87501,0.67181,0.63914,0.3571,0.77891,0.00136478,0.00136478,0.00136478
117,7446.28,0.75159,0.40045,0.82107,0.90439,0.80235,0.87802,0.66671,0.6479,0.35326,0.7792,0.00135509,0.00135509,0.00135509
118,7509.11,0.76222,0.40058,0.80923,0.93049,0.80726,0.88992,0.67558,0.63769,0.35106,0.77798,0.00134535,0.00134535,0.00134535
119,7572.02,0.76142,0.40098,0.81226,0.90602,0.80203,0.88063,0.67757,0.6293,0.34639,0.77896,0.00133558,0.00133558,0.00133558
120,7635.21,0.75702,0.39702,0.8136,0.84018,0.81295,0.82352,0.61288,0.62505,0.39987,0.7769,0.00132577,0.00132577,0.00132577
121,7698.18,0.78558,0.4065,0.81801,0.89007,0.80019,0.86944,0.65906,0.6358,0.36509,0.77692,0.00131593,0.00131593,0.00131593
122,7761.17,0.74896,0.39382,0.81282,0.92311,0.81105,0.89196,0.68277,0.62293,0.34276,0.77719,0.00130605,0.00130605,0.00130605
123,7823.91,0.74712,0.39706,0.81399,0.88072,0.7694,0.81823,0.61871,0.62143,0.42127,0.77726,0.00129614,0.00129614,0.00129614
124,7886.76,0.78401,0.41013,0.81673,0.88958,0.80515,0.86061,0.653,0.62841,0.36864,0.77807,0.0012862,0.0012862,0.0012862
125,7949.8,0.74529,0.38579,0.81286,0.91895,0.81407,0.87923,0.67677,0.61633,0.33476,0.7776,0.00127623,0.00127623,0.00127623
126,8012.9,0.73709,0.38312,0.81318,0.92217,0.79391,0.8787,0.66503,0.63993,0.34333,0.77913,0.00126623,0.00126623,0.00126623
127,8075.96,0.7481,0.3919,0.81011,0.91508,0.79732,0.87718,0.66631,0.62275,0.34813,0.77652,0.0012562,0.0012562,0.0012562
128,8138.99,0.74684,0.3883,0.80766,0.91454,0.78868,0.88351,0.67975,0.62892,0.34291,0.77767,0.00124615,0.00124615,0.00124615
129,8202.35,0.74103,0.38772,0.81036,0.89859,0.77181,0.83276,0.63436,0.61693,0.39843,0.77624,0.00123607,0.00123607,0.00123607
130,8265.37,0.76088,0.39779,0.81288,0.8468,0.7901,0.79157,0.59934,0.61305,0.45659,0.777,0.00122596,0.00122596,0.00122596
131,8328.26,0.74638,0.38339,0.81836,0.92862,0.79174,0.88086,0.68219,0.61602,0.33334,0.77582,0.00121583,0.00121583,0.00121583
132,8391.12,0.73981,0.39205,0.81024,0.9113,0.77945,0.84993,0.649,0.6239,0.3737,0.77686,0.00120568,0.00120568,0.00120568
133,8453.87,0.72774,0.38378,0.80617,0.92051,0.7888,0.8596,0.65389,0.60942,0.356,0.77536,0.00119551,0.00119551,0.00119551
134,8516.98,0.73989,0.38273,0.80924,0.93026,0.77722,0.86873,0.66402,0.61309,0.34537,0.77643,0.00118531,0.00118531,0.00118531
